Time period and dataset code row,"Number of people
(thousands)","Economically active  
(thousands)
[note 1]","Employment level 
(thousands) 
[note 2]","Unemployment level 
(thousands) 
[note 2]","Economically inactive 
(thousands) 
[note 3]","Economically active rate 
(%)
","Employment rate
(%)
[note 4]","Unemployment rate 
(%)
[note 4]","Economically inactive rate 
(%)
[note 4]"
Dataset identifier code,MGSL,MGSF,MGRZ,MGSC,MGSI,MGWG,MGSR,MGSX,YBTC
Apr to Jun 1978,"42,030","26,360","24,897","1,463","15,670",62.7,59.2,5.6,37.3
May to Jul 1978,"42,054","26,367","24,908","1,459","15,687",62.7,59.2,5.5,37.3
Jun to Aug 1978,"42,079","26,378","24,919","1,459","15,701",62.7,59.2,5.5,37.3
Jul to Sep 1978,"42,105","26,396","24,941","1,455","15,709",62.7,59.2,5.5,37.3
Aug to Oct 1978,"42,132","26,425","24,975","1,449","15,708",62.7,59.3,5.5,37.3
Sep to Nov 1978,"42,159","26,452","25,017","1,435","15,708",62.7,59.3,5.4,37.3
Oct to Dec 1978,"42,186","26,480","25,059","1,421","15,706",62.8,59.4,5.4,37.2
Nov to Jan 1979,"42,213","26,501","25,087","1,413","15,713",62.8,59.4,5.3,37.2
Dec to Feb 1979,"42,240","26,523","25,106","1,417","15,718",62.8,59.4,5.3,37.2
Jan to Mar 1979,"42,267","26,533","25,113","1,420","15,734",62.8,59.4,5.4,37.2
Feb to Apr 1979,"42,294","26,535","25,121","1,414","15,759",62.7,59.4,5.3,37.3
Mar to May 1979,"42,321","26,541","25,136","1,405","15,780",62.7,59.4,5.3,37.3
Apr to Jun 1979,"42,348","26,565","25,159","1,405","15,783",62.7,59.4,5.3,37.3
May to Jul 1979,"42,375","26,602","25,186","1,415","15,773",62.8,59.4,5.3,37.2
Jun to Aug 1979,"42,402","26,633","25,211","1,422","15,769",62.8,59.5,5.3,37.2
Jul to Sep 1979,"42,432","26,659","25,229","1,430","15,773",62.8,59.5,5.4,37.2
Aug to Oct 1979,"42,462","26,689","25,248","1,441","15,772",62.9,59.5,5.4,37.1
Sep to Nov 1979,"42,491","26,718","25,265","1,453","15,773",62.9,59.5,5.4,37.1
Oct to Dec 1979,"42,521","26,750","25,280","1,471","15,770",62.9,59.5,5.5,37.1
Nov to Jan 1980,"42,551","26,769","25,280","1,490","15,781",62.9,59.4,5.6,37.1
Dec to Feb 1980,"42,580","26,791","25,270","1,521","15,789",62.9,59.3,5.7,37.1
Jan to Mar 1980,"42,610","26,808","25,250","1,558","15,802",62.9,59.3,5.8,37.1
Feb to Apr 1980,"42,639","26,837","25,235","1,603","15,802",62.9,59.2,6,37.1
Mar to May 1980,"42,669","26,863","25,215","1,648","15,806",63,59.1,6.1,37
Apr to Jun 1980,"42,699","26,890","25,190","1,700","15,809",63,59,6.3,37
May to Jul 1980,"42,728","26,916","25,160","1,756","15,812",63,58.9,6.5,37
Jun to Aug 1980,"42,758","26,938","25,110","1,828","15,820",63,58.7,6.8,37
Jul to Sep 1980,"42,784","26,955","25,050","1,905","15,829",63,58.5,7.1,37
Aug to Oct 1980,"42,810","26,974","24,985","1,989","15,836",63,58.4,7.4,37
Sep to Nov 1980,"42,836","26,992","24,915","2,077","15,844",63,58.2,7.7,37
Oct to Dec 1980,"42,862","27,024","24,855","2,169","15,837",63.1,58,8,36.9
Nov to Jan 1981,"42,888","27,040","24,785","2,255","15,847",63,57.8,8.3,37
Dec to Feb 1981,"42,914","27,050","24,720","2,330","15,863",63,57.6,8.6,37
Jan to Mar 1981,"42,940","27,063","24,661","2,403","15,876",63,57.4,8.9,37
Feb to Apr 1981,"42,965","27,082","24,606","2,476","15,883",63,57.3,9.1,37
Mar to May 1981,"42,991","27,093","24,549","2,544","15,898",63,57.1,9.4,37
Apr to Jun 1981,"43,017","27,082","24,495","2,588","15,935",63,56.9,9.6,37
May to Jul 1981,"43,043","27,068","24,444","2,624","15,975",62.9,56.8,9.7,37.1
Jun to Aug 1981,"43,069","27,053","24,398","2,654","16,016",62.8,56.6,9.8,37.2
Jul to Sep 1981,"43,084","27,039","24,355","2,684","16,045",62.8,56.5,9.9,37.2
Aug to Oct 1981,"43,100","27,024","24,311","2,713","16,076",62.7,56.4,10,37.3
Sep to Nov 1981,"43,115","27,001","24,261","2,740","16,114",62.6,56.3,10.1,37.4
Oct to Dec 1981,"43,130","26,970","24,209","2,761","16,160",62.5,56.1,10.2,37.5
Nov to Jan 1982,"43,146","26,949","24,169","2,780","16,197",62.5,56,10.3,37.5
Dec to Feb 1982,"43,161","26,931","24,139","2,792","16,230",62.4,55.9,10.4,37.6
Jan to Mar 1982,"43,176","26,923","24,120","2,803","16,254",62.4,55.9,10.4,37.6
Feb to Apr 1982,"43,192","26,905","24,092","2,813","16,287",62.3,55.8,10.5,37.7
Mar to May 1982,"43,207","26,892","24,067","2,824","16,315",62.2,55.7,10.5,37.8
Apr to Jun 1982,"43,222","26,868","24,027","2,841","16,354",62.2,55.6,10.6,37.8
May to Jul 1982,"43,238","26,848","23,992","2,857","16,389",62.1,55.5,10.6,37.9
Jun to Aug 1982,"43,253","26,826","23,949","2,877","16,427",62,55.4,10.7,38
Jul to Sep 1982,"43,274","26,797","23,901","2,897","16,476",61.9,55.2,10.8,38.1
Aug to Oct 1982,"43,295","26,769","23,852","2,917","16,526",61.8,55.1,10.9,38.2
Sep to Nov 1982,"43,316","26,741","23,803","2,938","16,575",61.7,55,11,38.3
Oct to Dec 1982,"43,337","26,714","23,755","2,960","16,622",61.6,54.8,11.1,38.4
Nov to Jan 1983,"43,357","26,688","23,712","2,976","16,670",61.6,54.7,11.2,38.4
Dec to Feb 1983,"43,378","26,663","23,675","2,988","16,715",61.5,54.6,11.2,38.5
Jan to Mar 1983,"43,399","26,649","23,651","2,998","16,750",61.4,54.5,11.3,38.6
Feb to Apr 1983,"43,420","26,644","23,636","3,008","16,776",61.4,54.4,11.3,38.6
Mar to May 1983,"43,441","26,653","23,630","3,023","16,788",61.4,54.4,11.3,38.6
Apr to Jun 1983,"43,462","26,696","23,647","3,049","16,765",61.4,54.4,11.4,38.6
May to Jul 1983,"43,483","26,762","23,687","3,074","16,721",61.5,54.5,11.5,38.5
Jun to Aug 1983,"43,504","26,834","23,741","3,093","16,670",61.7,54.6,11.5,38.3
Jul to Sep 1983,"43,527","26,918","23,809","3,109","16,608",61.8,54.7,11.5,38.2
Aug to Oct 1983,"43,549","27,004","23,879","3,125","16,545",62,54.8,11.6,38
Sep to Nov 1983,"43,572","27,094","23,947","3,146","16,478",62.2,55,11.6,37.8
Oct to Dec 1983,"43,595","27,161","23,994","3,167","16,434",62.3,55,11.7,37.7
Nov to Jan 1984,"43,618","27,234","24,044","3,189","16,384",62.4,55.1,11.7,37.6
Dec to Feb 1984,"43,641","27,300","24,085","3,215","16,340",62.6,55.2,11.8,37.4
Jan to Mar 1984,"43,664","27,368","24,125","3,243","16,296",62.7,55.3,11.8,37.3
Feb to Apr 1984,"43,687","27,428","24,165","3,263","16,258",62.8,55.3,11.9,37.2
Mar to May 1984,"43,709","27,485","24,208","3,278","16,224",62.9,55.4,11.9,37.1
Apr to Jun 1984,"43,732","27,510","24,245","3,265","16,222",62.9,55.4,11.9,37.1
May to Jul 1984,"43,755","27,530","24,275","3,256","16,225",62.9,55.5,11.8,37.1
Jun to Aug 1984,"43,778","27,547","24,305","3,242","16,231",62.9,55.5,11.8,37.1
Jul to Sep 1984,"43,801","27,573","24,335","3,238","16,228",63,55.6,11.7,37
Aug to Oct 1984,"43,824","27,603","24,370","3,233","16,220",63,55.6,11.7,37
Sep to Nov 1984,"43,846","27,629","24,400","3,229","16,218",63,55.6,11.7,37
Oct to Dec 1984,"43,869","27,652","24,435","3,217","16,217",63,55.7,11.6,37
Nov to Jan 1985,"43,892","27,676","24,470","3,206","16,216",63.1,55.8,11.6,36.9
Dec to Feb 1985,"43,915","27,685","24,490","3,195","16,230",63,55.8,11.5,37
Jan to Mar 1985,"43,937","27,695","24,515","3,180","16,243",63,55.8,11.5,37
Feb to Apr 1985,"43,960","27,709","24,540","3,169","16,251",63,55.8,11.4,37
